model,accuracy,precision,recall,f1_score,roc_auc,best_params
logistic_regression,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9664502164502166,"{'clf__C': 1, 'clf__solver': 'lbfgs'}"
random_forest,0.8688524590163934,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.9448051948051949,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 300}"
